Date,BOVA11,ITUB4,BBDC4,BBAS3,BPAC11,SANB11,ABCB4,BPAN4,BRSR6,BIDI4,PINE4.SA
2019-06-14,-0.006621789,0.00029417,-0.001657931,-0.017694102,-0.009345954,-0.003216815,0.000537798,0.054814856,-0.028634461,0.003289269,-0.00896861
2019-06-17,-0.002751053,-0.001177151,-0.002491302,-0.0009897,0.023799347,-0.000922079,-0.010209772,0.053370762,0.006802979,-0.029344137,0
2019-06-18,0.016127289,0.025920519,0.008601564,0.023380267,0.020942443,0.019150617,-0.001085497,0.051999919,0.028828621,0.01030211,-0.004524887
2019-06-19,0.008979848,0.01579114,0.012379927,0.016456781,0.017435828,0.009735202,0.013586753,-0.003802114,0.007005243,-0.002005832,0.013636364
2019-06-21,0.016454559,0.022611646,0.022554144,0.007809699,0.015120889,0.024663717,0.04075048,0.016539237,0.021304308,0.00820769,0
2019-06-24,0.00091628,-0.002211234,0.0079726,0.002456929,-0.010923435,0.004157588,0.001030594,-0.026282735,0.028097105,-0.008140872,0.00896861
2019-06-25,-0.019835185,-0.012465207,-0.008436833,-0.009238418,-0.006024132,-0.015907502,-0.02213081,-0.016709441,-0.026915065,0.004857814,0.057777778
2019-06-26,0.005085066,0.023842821,0.01249646,0.021693945,-0.010100985,0.013064444,-0.013157878,0.035294049,-0.0076595,-0.019336704,-0.021008403
2019-06-27,0.002271575,-0.006849171,-0.004726576,0.00204857,0.008979492,-0.003715739,0.013333317,0.073232234,0.007289713,0.033996342,0.008583691
2019-06-28,0.000412084,0.00027569,-0.004221477,0.002602362,0.02912632,-0.002632819,0.011578865,0.050588325,0.011068609,0.00339671,0.025531915
2019-07-01,0.003501143,-0.004552065,0.001664633,-0.001112376,-0.016312858,0.005719507,-0.011446329,0.080626909,-0.006315834,0.014611783,0.045643154
2019-07-02,-0.006977938,-0.003603599,0.003116863,-0.012806251,0.000799139,0.005249313,-0.009473729,0.099482006,-0.00635583,0.011326764,0.03968254
2019-07-03,0.033378145,0.017246354,0.017757529,0.020868471,0.018167306,0.011749378,-0.002125329,-0.048067892,0.010661055,0.031999896,-0.019083969
2019-07-04,0,0.011484827,0.017448119,0.016206381,0.034509746,0.02537627,0.030351521,0.01485155,0.024050536,0.103256015,-0.019455253
2019-07-05,0.00269997,0.011084245,0.00870245,-0.003262138,0.063495212,-0.005662755,0.002897127,-0.004878036,0.033786453,0.094435352,-0.007936508
2019-07-08,0.002892201,-0.002674107,-0.004567395,-0.00090884,0.011227966,-0.013193289,0,-0.011764797,-0.004782706,0.108628281,0.048
2019-07-10,0.013922047,-0.002680934,-0.004588162,-0.012557046,-0.007402272,0.001504745,0.018567583,0.002976162,0.019623418,-0.027797119,0
2019-07-11,-0.007355826,-0.001344185,-0.008450619,-0.019535444,0.033558229,-0.001931787,-0.027604306,-0.058357955,-0.010211753,-0.006433137,-0.019083969
2019-07-12,-0.011461279,-0.018572749,-0.018595302,-0.022556414,-0.003779342,-0.009677459,-0.003213564,-0.002100857,-0.018650857,-0.016546736,-0.003891051
2019-07-15,-9.997E-05,-0.002742932,-0.004210753,-0.005961878,-0.006725422,0.004994598,-0.025255296,-0.010526288,-0.009300481,-0.041697254,0
2019-07-16,-0.00139943,0.003850386,0.000264187,0.001547946,0.015625092,0.001944629,0.00220507,0.095744648,-0.013877515,0.060305566,-0.00390625
2019-07-17,0.001101101,-0.002740015,-0.00528355,0.000193286,-0.000170927,0.009273349,-0.001100019,-0.038835051,0.010761511,-0.021598244,0
2019-07-18,0.00689926,0.026648648,0.021779337,0.016994862,-0.009232344,0.025640951,0.01321567,0.015151687,0.011056475,0.000735706,-0.007843137
2019-07-19,-0.010923526,-0.02595693,-0.022614924,-0.012533158,-0.012597025,-0.027916604,-0.005978036,-0.012935371,0.004455173,0.022651302,-0.011857708
2019-07-22,0.004016084,0.017033142,0.013829741,0.000192022,-0.01520446,0.000214232,0.008201093,-0.020161342,-0.003628927,-0.000726154,0
2019-07-23,0.00099998,0.009724195,0.003410402,-0.01172834,-0.006388664,-0.005142432,0.003796049,-0.010288039,0.010117292,0.023255814,0
2019-07-24,0.002897113,-0.000802536,0.018823505,0.01809359,-0.006072489,-0.010768929,0.008643913,0.002079126,0.009615601,-0.026278322,0.012
2019-07-25,-0.015838191,-0.030789379,-0.058250049,-0.042232292,-0.013477017,-0.020248125,-0.027316377,-0.014522933,-0.013889076,0.009481984,-0.003952569
2019-07-26,0.0035425,0.017955494,-0.012806588,-0.002394138,0.004007127,0.011111016,0.007709216,0.013684262,-0.002816996,0.002167664,0.007936508
2019-07-29,0.004135108,0.004070508,-0.002207892,0.0089998,0.021226509,-0.007692218,0,0.002076644,0.014124301,-0.023792515,-0.015748031
2019-07-30,-0.004419395,-0.033243202,-0.020746906,-0.010108765,0.05418356,-0.031007762,-0.002185851,-0.015543895,-0.039792853,0.163220307,0.004
2019-07-31,-0.01150121,-0.026558731,-0.0254238,-0.014417321,0.00707794,-0.020571511,-0.018072264,-0.005263144,-0.025694266,0.044444504,0.059760956
2019-08-01,0.004592743,0.002155151,-0.008695653,-0.009549022,0.026271739,-0.002100475,-0.012827671,0.01481482,0.007230996,0.073556221,0.030075188
2019-08-02,0.003555816,0.00143331,0.002844835,0.000205007,0.009293942,-0.006314106,0.009039604,0.017726774,-0.01393583,-0.001698781,0.167883212
2019-08-05,-0.023385281,-0.013741712,-0.018086172,-0.018662816,-0.038772171,-0.014356292,0.021836446,0.088114694,-0.016702383,-0.034032919,0.30625
2019-08-06,0.020420866,0.03018884,0.015151557,0.013584255,0.052436902,0.009550962,0.047671399,0.134651725,0.040069645,0.001174298,0.172248804
2019-08-07,0.006196678,0.03691138,0.021071064,-0.001030758,0.01277548,0.028618774,-0.003661327,-0.058091303,0.016331686,0.021700987,-0.187755102
2019-08-08,0.013225623,0.00543493,0.004872423,0.007223819,0.020813654,0.027592472,-0.004199473,0.039647655,-0.00370827,0.106773768,0.052763819
2019-08-09,-0.001195725,-0.007567282,-0.016543021,-0.003073564,0.003514314,-0.012530576,0.017923171,-0.017796614,-0.013647566,0.057054111,0.059665871
2019-08-12,-0.02075014,-0.041394569,-0.020881441,-0.033916069,-0.027237286,-0.01518247,0.017607361,-0.004314142,-0.011320814,0.020608316,-0.009009009
2019-08-13,0.013854859,0.019602559,0.010070944,0.01170202,0.024959854,0.004141881,0.008142434,0.001733206,-0.022577198,0.062500064,-0.047727273
2019-08-14,-0.028838375,-0.022011992,-0.01964834,-0.034910464,-0.026381405,-0.030018398,0.005048146,-0.065744177,-0.027216848,0.063348361,-0.066825776
2019-08-15,-0.013140248,-0.002849019,-0.006879797,-0.000871722,-0.005932358,0.001653584,-0.041687744,-0.094444324,-0.014440389,-0.102127723,-0.079283887
2019-08-16,0.008073024,-0.002972411,0.002108415,-0.002617104,-0.008870932,0.005896283,-0.00576521,0.02249485,0.007325932,-0.066350661,-0.008333333
2019-08-19,-0.00395221,-0.004366711,-0.014427525,-0.019680763,0.038242416,-0.007502898,-0.0105429,-0.077000029,0.001363567,-0.053299411,-0.070028011
2019-08-20,-0.002401545,-0.01111086,-0.009758899,-0.000892308,0.026645843,-0.013701903,-0.0010655,0.058504995,-0.010893995,0.067560245,0.234939759
2019-08-21,0.020828951,0.007688008,0.019710414,0.057155675,0.013587779,0.010538842,0.00800001,-0.008188395,0.015603149,0.056253063,-0.12195122
2019-08-22,-0.012098852,-0.015845211,-0.012987173,-0.005411995,0.012200525,-0.012325337,-0.017460292,-0.008256105,-0.008133602,-0.014265273,-0.027777778
2019-08-23,-0.024182678,-0.011628064,-0.021725687,-0.036441663,-0.172618966,-0.01535849,-0.009693135,-0.042663852,-0.03234613,-0.035696939,-0.051428571
2019-08-26,-0.014571315,-0.000301669,-0.010322476,-0.004671788,-0.179496467,-0.008774174,-0.025557369,-0.081521537,-0.01318274,-0.02151089,-0.06626506
2019-08-27,0.010793308,0.011768607,0.012642589,-0.008046537,0.179745748,0.003688219,0.004464466,-0.008284026,0.006679559,0.012269978,0.035483871
2019-08-28,0.009930592,0.011332873,-0.005930193,-0.008337084,-0.018580483,0.010533873,0.011110921,0,0.005213185,0.04545465,0.012461059
2019-08-29,0.024106565,0.005308217,0.01883824,0.024312549,0.060393738,0.029576037,0.005494592,0.032219384,0.026402664,-0.009662183,0.104615385
2019-08-30,0.007743134,-0.004400106,0.015408313,0.025732132,0.018568276,0.000941684,0.004917955,0.128323808,0.039503804,-0.031706987,-0.061281337
2019-09-02,-0.008708114,-0.012527765,-0.010318556,-0.012759441,0.030674695,-0.011761865,-0.01468184,-0.011270633,-0.026071593,0.015113129,0.017804154
2019-09-03,-0.00888797,-0.019104365,-0.016345622,-0.018620046,-0.042516903,-0.021423341,0.022626963,-0.048704564,0.014972951,-0.011910558,-0.026239067
2019-09-04,0.015328477,0.006999273,0.012476452,0.023660488,-0.009946671,0.016540838,-0.005396621,-0.005446609,-0.003129321,-0.011049848,-0.008982036
2019-09-05,0.010989,0.02840707,0.02310535,0.034889096,-0.017043534,0.028236417,0.017362924,0.003285953,0,0.002539452,-0.009063444
2019-09-06,0.007009295,0.033500432,0.041854886,0.040665853,-0.030844987,0.023970213,-0.000533435,-0.007642037,0.027354187,-0.022796406,0.00304878
2019-09-09,0.002017603,0.024452462,0.012716776,0.012350716,-0.047834219,0.015681694,-0.019743781,0.078107908,0.032736882,-0.050284924,-0.003039514
2019-09-10,-0.001409443,-0.019428428,-0.01769416,-0.016800015,0.013449355,0.004251687,-0.014153473,0,-0.027895214,-0.044759809,-0.021341463
2019-09-11,0.00564571,-0.004528361,-0.004357901,-0.023800036,0.044886756,-0.014482992,0.013252278,0.02346941,0.015652324,0.067999736,0.046728972
2019-09-12,0.006115298,0.006254978,-0.010796465,0.005087474,0.025588397,0.008365091,-0.003269605,-0.022931228,-0.030393968,-0.004815486,-0.026785714
2019-09-13,-0.007772011,0.013563119,-0.012979509,-0.017916808,0.001456902,0.013453183,-0.002187105,-0.035714297,-0.024282674,-0.009139659,-0.03058104
2019-09-16,0.002209289,-0.017842047,-0.013149822,-0.010394456,-0.009456309,-0.015929146,-0.007123269,0.003174463,-0.042986386,0.044492667,-0.006309148
2019-09-17,0.009619228,0.003690016,0.026650463,0.013933456,0.017991516,0.013489065,0.002207564,0.011603522,0.039243419,-0.009870076,0.012698413
2019-09-18,-0.001290244,-0.003110744,0.002949734,0.015222132,0.024887334,-0.008429507,0.002202522,-0.0500522,0.073703432,0.020461705,0.006269592
2019-09-19,-0.001888055,-0.016737673,-0.012058756,-0.026030894,0.019883849,-0.00917245,-0.000549375,-0.012074567,0.027542543,-0.001542441,-0.018691589
